point_id,point_date,slot,sensor,acquisition_date,longitude,latitude,image_id,s2_B2,s2_B3,s2_B4,s2_B8,s2_B11,s2_B12,s1_VV,s1_VH,s1_angle,s1_orbit_direction,s1_relative_orbit
0,2025-06-29,same,S2,,9.96520972936142,49.77769900435741,,476.0,657.0,933.0,1580.0,1337.0,790.0,,,,,
0,2025-06-29,next,S2,,9.96520972936142,49.77769900435741,,872.0,1142.0,1654.0,2844.0,2844.0,1800.0,,,,,
1,2025-06-29,same,S2,,9.96676467438729,49.774330946605225,,442.0,747.0,768.0,2674.0,2455.0,1319.0,,,,,
1,2025-06-29,next,S2,,9.96676467438729,49.774330946605225,,494.0,710.0,826.0,2462.0,2470.0,1419.0,,,,,
2,2025-06-29,same,S2,,9.965043865911671,49.77384910230033,,406.0,695.0,596.0,3204.0,2167.0,1256.0,,,,,
2,2025-06-29,next,S2,,9.965043865911671,49.77384910230033,,436.0,717.0,614.0,3062.0,2080.0,1324.0,,,,,
4,2025-06-29,same,S2,,9.96691975401947,49.77682836463748,,632.0,952.0,1316.0,3128.0,2469.0,1412.0,,,,,
4,2025-06-29,next,S2,,9.96691975401947,49.77682836463748,,744.0,963.0,1380.0,2938.0,2711.0,1631.0,,,,,
6,2025-06-29,same,S2,,9.961650685687271,49.77087172475179,,579.0,960.0,1132.0,3156.0,3332.0,2190.0,,,,,
6,2025-06-29,next,S2,,9.961650685687271,49.77087172475179,,702.0,1002.0,1246.0,3103.0,3411.0,2323.0,,,,,
7,2025-06-29,same,S2,,9.957980370327704,49.769073465443974,,670.0,1002.0,1078.0,2562.0,2703.0,1903.0,,,,,
7,2025-06-29,next,S2,,9.957980370327704,49.769073465443974,,738.0,1016.0,1068.0,2758.0,2824.0,2033.0,,,,,
8,2025-06-29,same,S2,,9.958137147994321,49.76849578574531,,604.0,876.0,1009.0,2501.0,2887.0,1866.0,,,,,
8,2025-06-29,next,S2,,9.958137147994321,49.76849578574531,,670.0,892.0,1064.0,2434.0,2967.0,1983.0,,,,,
9,2025-06-29,same,S2,,9.958784474074196,49.76737986714895,,626.0,988.0,1152.0,3384.0,3089.0,1712.0,,,,,
9,2025-06-29,next,S2,,9.958784474074196,49.76737986714895,,695.0,994.0,1136.0,3408.0,3125.0,1854.0,,,,,
70,2025-06-29,same,S2,,9.964619678739103,49.77280486839202,,610.0,907.0,1030.0,2622.0,2579.0,1845.0,,,,,
70,2025-06-29,next,S2,,9.964619678739103,49.77280486839202,,630.0,884.0,1018.0,2540.0,2578.0,1901.0,,,,,
71,2025-06-29,same,S2,,9.957941533541508,49.766329449635734,,385.0,656.0,632.0,2552.0,2202.0,1226.0,,,,,
71,2025-06-29,next,S2,,9.957941533541508,49.766329449635734,,465.0,668.0,652.0,2547.0,2218.0,1359.0,,,,,
