scenario,sensor,band,variable,correlation,p_value,n_points,significant
Same-Date Only,S1,s1_VV,S1_VV,-0.1522611513720419,0.48795958496504144,23,False
Same-Date Only,S1,s1_VH,S1_VH,0.2508190803741209,0.24834622660658673,23,False
Same-Date Only,S2,s2_B2,S2_B2,-0.4151336597941398,0.23287598235375176,10,False
Same-Date Only,S2,s2_B3,S2_B3,-0.19188551973218798,0.5953671834974494,10,False
Same-Date Only,S2,s2_B4,S2_B4,-0.4652517254804046,0.1754237647093368,10,False
Same-Date Only,S2,s2_B8,S2_B8,0.3067211300865682,0.38868608865440135,10,False
Same-Date Only,S2,s2_B11,S2_B11,0.27842928976418685,0.43599665013786815,10,False
Same-Date Only,S2,s2_B12,S2_B12,0.21384246559838985,0.5530300324353692,10,False
Same-Date Only,Spectral_Index,NDMI,NDMI,0.005729667780323822,0.9874667631907397,10,False
Same-Date Only,Spectral_Index,MSI,MSI,0.02624917218743979,0.942619483004163,10,False
Same-Date Only,Spectral_Index,NMDI,NMDI,-0.09563911225536961,0.7926925781502521,10,False
Same-Date Only,Spectral_Index,VV_linear,VV_linear,-0.12809973709314232,0.5602344834671402,23,False
Same-Date Only,Spectral_Index,VH_linear,VH_linear,0.15647295746806655,0.4758580218290044,23,False
Same-Date Only,Spectral_Index,NDPI,NDPI,-0.40972842241733876,0.05218210180668795,23,False
Same-Date Only,Spectral_Index,PR,PR,-0.3816068415818346,0.07237342239369074,23,False
Multi-Temporal Median,S1,s1_VV,S1_VV,-0.1756572109350614,0.42272298145396453,23,False
Multi-Temporal Median,S1,s1_VH,S1_VH,0.3639969843999536,0.08773631085124295,23,False
Multi-Temporal Median,S2,s2_B2,S2_B2,-0.49529612420752916,0.14549514097938748,10,False
Multi-Temporal Median,S2,s2_B3,S2_B3,-0.3121921998642615,0.3798376947244422,10,False
Multi-Temporal Median,S2,s2_B4,S2_B4,-0.480619485897937,0.1596945878716372,10,False
Multi-Temporal Median,S2,s2_B8,S2_B8,0.2899590732907941,0.41640654357429047,10,False
Multi-Temporal Median,S2,s2_B11,S2_B11,0.1910652519664939,0.5969713099655094,10,False
Multi-Temporal Median,S2,s2_B12,S2_B12,0.143446982933833,0.6925872714675088,10,False
Multi-Temporal Median,Spectral_Index,NDMI,NDMI,0.09928570220845716,0.7849408514914418,10,False
Multi-Temporal Median,Spectral_Index,MSI,MSI,-0.05351952155294552,0.883260810192829,10,False
Multi-Temporal Median,Spectral_Index,NMDI,NMDI,0.006195171573541476,0.9864485822963177,10,False
Multi-Temporal Median,Spectral_Index,VV_linear,VV_linear,-0.2151432363550743,0.32420185258694056,23,False
Multi-Temporal Median,Spectral_Index,VH_linear,VH_linear,0.34081046485619654,0.11152202201985925,23,False
Multi-Temporal Median,Spectral_Index,NDPI,NDPI,-0.48480918595563527,0.019046788217260184,23,True
Multi-Temporal Median,Spectral_Index,PR,PR,-0.47757838382694906,0.021187343113047433,23,True
