fid,Date,Avg_SM,NDMI,MSI,NMDI,VV,VH,NDPI
0.0,2025-06-29,39.2,0.083304762840271,0.846202552318573,0.4856605529785156,0.8663779264964068,-7.460604914610566,0.743687199769521
1.0,2025-06-29,47.4,0.04269838333129883,0.9181002378463745,0.40367454290390015,-8.184986984381421,-17.529196355975824,0.7916333537259396
2.0,2025-06-29,60.2,0.19307391345500946,0.6763420701026917,0.5572296380996704,-7.2274611956387,-14.799674786793837,0.7022790505408781
4.0,2025-06-29,25.0,0.1177416443824768,0.7893222570419312,0.4948626160621643,-10.193590287075798,-17.706204522121073,0.6987847650140957
6.0,2025-06-29,57.0,-0.02712700329720974,1.0557668209075928,0.46859005093574524,-13.437474723524366,-13.840619878675069,0.04638050108545936
7.0,2025-06-29,41.4,-0.0267806276679039,1.05503511428833,0.5240927934646606,-11.009351186079444,-12.99338533027685,0.22452889169144039
8.0,2025-06-29,44.0,-0.07164068520069122,1.1543382406234741,0.42021578550338745,-9.31015151455213,-15.106800333137917,0.5832431583351114
9.0,2025-06-29,36.4,0.045573923736810684,0.9128250479698181,0.42155009508132935,-12.916112939327991,-17.771162144235046,0.5072040482984261
70.0,2025-06-29,34.4,0.008267641067504883,0.9836003184318542,0.5625745058059692,-3.422322148102357,-8.613904403375637,0.5354130537436907
71.0,2025-06-29,48.8,0.0736222118139267,0.8628526926040649,0.44671201705932617,-9.51795645589396,-13.64730138443786,0.44255882992730466
